source,destination,date
washington,idaho,2020-03-14
washington,idaho,2020-03-14
washington,snohomish county,2020-03-02
washington,king county,2020-02-29
snohomish county,washington,2020-03-15
washington,king county,2020-02-29
king county,washington,2020-03-20
washington,ontario,2020-03-09
ontario,dane county,2020-03-21
ontario,manitoba,2020-03-12
washington,ontario,2020-03-08
washington,ontario,2020-03-05
washington,ontario,2020-03-11
washington,ontario,2020-03-10
washington,victoria,2020-03-20
washington,perth,2020-03-14
washington,victoria,2020-03-18
washington,victoria,2020-03-13
washington,minnesota,2020-03-12
washington,minnesota,2020-03-14
minnesota,reykjavik,2020-03-17
minnesota,reykjavik,2020-03-12
minnesota,reykjavik,2020-03-16
minnesota,victoria,2020-03-08
minnesota,british columbia,2020-03-11
victoria,minnesota,2020-03-14
victoria,sydney,2020-03-10
victoria,gold coast,2020-03-11
victoria,dane county,2020-03-16
victoria,connecticut,2020-03-18
connecticut,virginia,2020-03-17
connecticut,minnesota,2020-03-12
virginia,victoria,2020-03-22
virginia,victoria,2020-03-19
washington,king county,2020-02-20
king county,solano county,2020-03-04
king county,victoria,2020-03-20
king county,snohomish county,2020-03-05
king county,snohomish county,2020-03-05
snohomish county,british columbia,2020-03-05
snohomish county,washington,2020-03-04
snohomish county,washington,2020-03-14
king county,washington,2020-02-28
king county,snohomish county,2020-02-28
washington,king county,2020-02-28
washington,king county,2020-02-29
washington,king county,2020-02-28
king county,washington,2020-03-02
king county,idaho,2020-03-15
king county,victoria,2020-03-16
idaho,pierce county,2020-03-06
idaho,british columbia,2020-03-06
pierce county,washington,2020-03-08
pierce county,washington,2020-03-06
washington,king county,2020-02-22
king county,washington,2020-02-27
king county,connecticut,2020-03-15
king county,washington,2020-03-15
connecticut,la crosse county,2020-03-23
connecticut,wisconsin,2020-03-24
connecticut,victoria,2020-03-24
connecticut,british columbia,2020-03-11
connecticut,idaho,2020-03-14
idaho,washington,2020-03-13
washington,king county,2020-02-29
washington,king county,2020-02-29
washington,king county,2020-02-29
washington,king county,2020-02-29
washington,king county,2020-02-28
washington,king county,2020-02-28
king county,washington,2020-02-28
king county,snohomish county,2020-03-02
king county,washington,2020-03-02
snohomish county,grant county,2020-03-02
snohomish county,washington,2020-03-02
snohomish county,king county,2020-03-05
king county,marin county,2020-03-04
king county,washington,2020-03-10
king county,washington,2020-03-10
washington,virginia,2020-03-10
washington,british columbia,2020-03-09
washington,oregon,2020-03-09
oregon,washington,2020-03-09
oregon,british columbia,2020-03-09
washington,connecticut,2020-03-08
washington,idaho,2020-03-16
connecticut,idaho,2020-03-16
connecticut,utah,2020-03-14
connecticut,idaho,2020-03-15
washington,king county,2020-02-29
washington,king county,2020-02-29
king county,washington,2020-02-29
king county,victoria,2020-03-11
king county,washington,2020-03-11
washington,manhattan,2020-03-17
washington,wisconsin,2020-03-22
manhattan,idaho,2020-03-14
manhattan,idaho,2020-03-15
washington,king county,2020-03-03
washington,king county,2020-03-05
king county,washington,2020-03-12
king county,utah,2020-03-12
washington,connecticut,2020-03-16
washington,virginia,2020-03-11
king county,virginia,2020-03-13
king county,washington,2020-03-13
virginia,british columbia,2020-03-13
virginia,washington,2020-03-13
virginia,utah,2020-03-13
virginia,washington,2020-03-13
utah,washington,2020-03-13
washington,idaho,2020-03-13
virginia,connecticut,2020-03-13
virginia,ontario,2020-03-12
connecticut,washington,2020-03-23
connecticut,virginia,2020-03-09
connecticut,brisbane,2020-03-25
connecticut,virginia,2020-03-17
virginia,victoria,2020-03-13
virginia,utah,2020-03-13
utah,washington,2020-03-13
utah,washington,2020-03-13
utah,washington,2020-03-13
utah,washington,2020-03-13
washington,utah,2020-03-13
washington,melbourne,2020-03-15
utah,washington,2020-03-12
utah,washington,2020-03-11
washington,wisconsin,2020-03-22
washington,dane county,2020-03-17
washington,idaho,2020-03-13
dane county,minnesota,2020-03-13
dane county,british columbia,2020-03-13
wuhan,guangzhou,2020-02-27
wuhan,jiangsu,2020-01-23
jiangsu,guangdong,2020-01-30
jiangsu,shanghai,2020-02-02
wuhan,pingxiang,2020-01-11
wuhan,pingxiang,2020-01-11
pingxiang,wuhan,2020-01-02
pingxiang,wuhan,2020-01-02
wuhan,kerala,2020-01-27
wuhan,shanghai,2020-02-02
wuhan,fujian,2020-01-22
wuhan,shanghai,2020-02-05
shanghai,guangzhou,2020-01-29
shanghai,guangdong,2020-02-28
shanghai,foshan,2020-01-22
shanghai,foshan,2020-01-22
foshan,singapore,2020-02-02
foshan,north brabant,2020-03-09
foshan,victoria,2020-02-02
foshan,wisconsin,2020-01-31
shanghai,wuhan,2020-01-01
wuhan,bangkok,2020-01-08
wuhan,south yorkshire,2020-03-21
wuhan,shanghai,2020-02-13
wuhan,hong kong,2020-01-21
wuhan,selangor,2020-02-20
selangor,singapore,2020-01-25
selangor,singapore,2020-02-09
wuhan,singapore,2020-01-23
wuhan,ho chi minh city,2020-01-22
wuhan,ho chi minh city,2020-01-22
wuhan,taipei,2020-02-05
wuhan,guangdong,2020-02-10
wuhan,guangdong,2020-02-10
wuhan,guangdong,2020-02-28
guangdong,singapore,2020-03-12
guangdong,wales,2020-03-16
wales,north brabant,2020-03-08
wales,north brabant,2020-03-08
guangdong,paris,2020-01-29
guangdong,sihanoukville,2020-01-27
guangdong,pingxiang,2020-01-27
guangdong,hangzhou,2020-01-17
hangzhou,california,2020-02-26
hangzhou,washington,2020-02-27
hangzhou,solano county,2020-03-03
hangzhou,wisconsin,2020-03-23
solano county,santa clara county,2020-03-04
santa clara county,wisconsin,2020-03-19
solano county,reykjavik,2020-03-15
solano county,england,2020-03-18
solano county,england,2020-03-05
solano county,portugal,2020-03-10
england,wales,2020-03-20
england,wales,2020-03-22
england,reykjavik,2020-03-18
england,nottinghamshire,2020-03-09
guangdong,shanghai,2020-02-02
shanghai,bangkok,2020-01-13
shanghai,hong kong,2020-02-19
shanghai,selangor,2020-02-20
shanghai,hangzhou,2020-01-21
shanghai,hangzhou,2020-01-21
hangzhou,chicago,2020-01-21
shanghai,hangzhou,2020-01-21
shanghai,hangzhou,2020-01-21
shanghai,hangzhou,2020-01-22
shanghai,hangzhou,2020-01-22
hangzhou,japan,2020-03-09
hangzhou,cork,2020-03-08
hangzhou,ontario,2020-03-13
hangzhou,south holland,2020-03-03
south holland,auvergne-rhône-alpes,2020-03-06
south holland,utrecht,2020-03-04
hangzhou,huaian,2020-01-19
huaian,hangzhou,2020-01-24
huaian,jiangsu,2020-01-24
hangzhou,rovaniemi,2020-01-29
hangzhou,hong kong,2020-02-17
hangzhou,england,2020-03-03
england,derbyshire,2020-03-24
derbyshire,scotland,2020-03-07
scotland,wales,2020-03-11
scotland,wales,2020-03-12
hangzhou,shanghai,2020-02-09
hangzhou,contamines,2020-02-08
shanghai,england,2020-02-08
shanghai,england,2020-02-08
shanghai,england,2020-02-08
shanghai,hong kong,2020-02-15
shanghai,england,2020-02-07
shanghai,guangdong,2020-02-05
shanghai,england,2020-02-05
shanghai,guangdong,2020-01-30
guangdong,shanghai,2020-02-05
guangdong,gyeonggi,2020-02-01
shanghai,hong kong,2020-02-23
shanghai,singapore,2020-03-06
shanghai,illinois,2020-03-01
shanghai,sydney,2020-02-28
shanghai,sydney,2020-02-28
sydney,singapore,2020-03-04
singapore,wales,2020-03-17
wales,norway,2020-03-17
wales,reykjavik,2020-03-17
shanghai,utah,2020-03-14
utah,illinois,2020-03-01
utah,singapore,2020-03-10
utah,wales,2020-03-21
utah,wales,2020-03-22
wales,singapore,2020-03-11
wales,khyber pakhtunkhwa,2020-03-12
guangdong,shenzhen,2020-01-15
guangdong,hangzhou,2020-01-16
shenzhen,hong kong,2020-01-25
shenzhen,kathmandu,2020-01-13
shenzhen,hangzhou,2020-02-03
hangzhou,finland,2020-03-13
hangzhou,north brabant,2020-03-11
hangzhou,shanghai,2020-02-06
hangzhou,shanghai,2020-02-04
hangzhou,shanghai,2020-02-01
shanghai,guangdong,2020-02-01
shanghai,osaka,2020-01-23
shanghai,zhongxian,2020-01-23
shanghai,guangdong,2020-01-23
shanghai,hangzhou,2020-01-23
shanghai,hangzhou,2020-01-23
shanghai,hangzhou,2020-01-23
shanghai,solano county,2020-02-27
shanghai,taipei,2020-01-28
shanghai,california,2020-01-27
shanghai,taoyuan,2020-01-25
shanghai,nara,2020-01-25
shanghai,singapore,2020-03-05
shanghai,limburg,2020-03-03
shanghai,quito,2020-03-09
limburg,utrecht,2020-03-12
limburg,brisbane,2020-03-19
limburg,north brabant,2020-03-02
limburg,north brabant,2020-03-06
limburg,tilburg,2020-02-27
tilburg,oss,2020-02-29
tilburg,nieuwendijk,2020-03-01
limburg,north brabant,2020-03-09
limburg,hardinxveld giessendam,2020-03-02
limburg,north brabant,2020-03-02
north brabant,rotterdam,2020-03-02
north brabant,naarden,2020-03-02
rotterdam,netherlands,2020-03-08
netherlands,scotland,2020-03-07
rotterdam,scotland,2020-03-02
rotterdam,andel,2020-03-01
andel,scotland,2020-03-04
andel,portugal,2020-03-17
andel,north brabant,2020-03-11
north brabant,south yorkshire,2020-03-25
north brabant,otago,2020-03-11
north brabant,helsinki,2020-03-14
north brabant,netherlands,2020-03-07
north brabant,loon op zand,2020-02-29
loon op zand,ghent,2020-03-24
loon op zand,north brabant,2020-03-06
loon op zand,minnesota,2020-03-07
north brabant,dalen,2020-03-01
dalen,north brabant,2020-03-06
dalen,north brabant,2020-03-06
north brabant,martin,2020-03-08
north brabant,duesseldorf,2020-03-11
shanghai,shangrao,2020-02-03
shangrao,saive,2020-03-09
shangrao,limburg,2020-03-05
saive,henri-chapelle,2020-03-06
saive,heinsberg district,2020-02-28
saive,liège,2020-03-14
saive,heinsberg district,2020-02-28
saive,netherlands,2020-03-10
saive,zielonogorskie,2020-03-03
saive,austria,2020-03-14
saive,england,2020-03-27
saive,england,2020-03-26
england,heinsberg district,2020-02-26
england,heinsberg district,2020-02-27
heinsberg district,limburg,2020-03-03
england,south holland,2020-03-09
england,ontario,2020-03-12
england,helsinki,2020-03-14
england,reykjavik,2020-03-13
england,ontario,2020-03-20
england,wales,2020-03-13
england,wales,2020-03-13
wales,sydney,2020-03-17
wales,utah,2020-03-10
england,heinsberg district,2020-02-26
england,heinsberg district,2020-02-26
heinsberg district,wales,2020-03-22
heinsberg district,gierle,2020-03-10
wales,duesseldorf,2020-03-11
wales,dakar,2020-03-17
wales,england,2020-03-26
england,wales,2020-03-15
heinsberg district,vienna,2020-02-26
heinsberg district,eupen,2020-03-01
eupen,sao paulo,2020-03-03
eupen,munich,2020-03-15
eupen,liège,2020-03-30
eupen,liège,2020-03-31
liège,portugal,2020-03-20
liège,portugal,2020-03-18
liège,duesseldorf,2020-03-11
liège,duesseldorf,2020-03-11
england,wales,2020-03-22
england,wales,2020-03-20
wuhan,shanghai,2020-02-09
